,playlist,id,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
229,Easy,4m5HKGwULoA0SvhaXiDMPR,Call You Mine (feat. Geologic Of The Blue Scholars),Easy,0.794,0.571,11,-6.436,0,0.0521,0.836,0.0174,0.0918,0.632,90.033,audio_features,spotify:track:4m5HKGwULoA0SvhaXiDMPR,https://api.spotify.com/v1/tracks/4m5HKGwULoA0SvhaXiDMPR,https://api.spotify.com/v1/audio-analysis/4m5HKGwULoA0SvhaXiDMPR,215125,4
230,Easy,58dSdjfEYNSxte1aNVxuNf,Easy,Easy,0.722,0.281,5,-7.487,1,0.104,0.373,0.00509,0.147,0.237,91.368,audio_features,spotify:track:58dSdjfEYNSxte1aNVxuNf,https://api.spotify.com/v1/tracks/58dSdjfEYNSxte1aNVxuNf,https://api.spotify.com/v1/audio-analysis/58dSdjfEYNSxte1aNVxuNf,314358,4
231,Easy,4BYO8KU39k40yaRAwDgyUs,Chivalry Is Dead,Easy,0.484,0.732,6,-4.892,1,0.0705,0.0471,0.0,0.0755,0.644,127.313,audio_features,spotify:track:4BYO8KU39k40yaRAwDgyUs,https://api.spotify.com/v1/tracks/4BYO8KU39k40yaRAwDgyUs,https://api.spotify.com/v1/audio-analysis/4BYO8KU39k40yaRAwDgyUs,208162,4
232,Easy,5pjWzUc1tVcewUTdDJd6Ce,San Francisco Street,Easy,0.877,0.542,2,-9.102,1,0.0419,0.224,0.132,0.0858,0.509,111.474,audio_features,spotify:track:5pjWzUc1tVcewUTdDJd6Ce,https://api.spotify.com/v1/tracks/5pjWzUc1tVcewUTdDJd6Ce,https://api.spotify.com/v1/audio-analysis/5pjWzUc1tVcewUTdDJd6Ce,266704,4
233,Easy,33VQJLL7QWS0LUuF7r39Rq,Calvin's Joint,Easy,0.676,0.657,8,-7.658,1,0.206,0.823,0.0121,0.117,0.281,94.388,audio_features,spotify:track:33VQJLL7QWS0LUuF7r39Rq,https://api.spotify.com/v1/tracks/33VQJLL7QWS0LUuF7r39Rq,https://api.spotify.com/v1/audio-analysis/33VQJLL7QWS0LUuF7r39Rq,226299,4
234,Easy,5WkCcSa78lM1Ym4LXzJUiN,La La Lost You - Acoustic Version,Easy,0.606,0.196,1,-11.652,1,0.0553,0.908,0.0,0.348,0.391,100.873,audio_features,spotify:track:5WkCcSa78lM1Ym4LXzJUiN,https://api.spotify.com/v1/tracks/5WkCcSa78lM1Ym4LXzJUiN,https://api.spotify.com/v1/audio-analysis/5WkCcSa78lM1Ym4LXzJUiN,208511,4
235,Easy,6fLlIJberJNX45w4xlvRUL,Intentions,Easy,0.564,0.484,8,-9.201,1,0.345,0.579,0.0,0.36,0.495,116.332,audio_features,spotify:track:6fLlIJberJNX45w4xlvRUL,https://api.spotify.com/v1/tracks/6fLlIJberJNX45w4xlvRUL,https://api.spotify.com/v1/audio-analysis/6fLlIJberJNX45w4xlvRUL,222836,4
236,Easy,5BhEJz8HuJttbVbKNJ3NFO,Stronger Than,Easy,0.86,0.144,6,-14.683,1,0.0718,0.864,2.61e-05,0.121,0.508,137.192,audio_features,spotify:track:5BhEJz8HuJttbVbKNJ3NFO,https://api.spotify.com/v1/tracks/5BhEJz8HuJttbVbKNJ3NFO,https://api.spotify.com/v1/audio-analysis/5BhEJz8HuJttbVbKNJ3NFO,266577,4
237,Easy,755gQFe8AygwKePVjrMDoj,The Simple Things,Easy,0.777,0.491,6,-6.523,1,0.0297,0.777,2e-06,0.101,0.681,95.106,audio_features,spotify:track:755gQFe8AygwKePVjrMDoj,https://api.spotify.com/v1/tracks/755gQFe8AygwKePVjrMDoj,https://api.spotify.com/v1/audio-analysis/755gQFe8AygwKePVjrMDoj,263633,4
238,Easy,7uzmGiiJyRfuViKKK3lVmR,Mine,Easy,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,audio_features,spotify:track:7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/tracks/7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/audio-analysis/7uzmGiiJyRfuViKKK3lVmR,131064,4
239,Easy,1boXOL0ua7N2iCOUVI1p9F,Japanese Denim,Easy,0.707,0.238,3,-8.818,1,0.0379,0.0905,2.42e-06,0.0842,0.345,124.156,audio_features,spotify:track:1boXOL0ua7N2iCOUVI1p9F,https://api.spotify.com/v1/tracks/1boXOL0ua7N2iCOUVI1p9F,https://api.spotify.com/v1/audio-analysis/1boXOL0ua7N2iCOUVI1p9F,270847,3
240,Easy,34p2uL1CvmaHn3uLfOKt8d,One Last Dance,Easy,0.466,0.161,7,-14.498,1,0.0492,0.979,0.000238,0.231,0.171,139.167,audio_features,spotify:track:34p2uL1CvmaHn3uLfOKt8d,https://api.spotify.com/v1/tracks/34p2uL1CvmaHn3uLfOKt8d,https://api.spotify.com/v1/audio-analysis/34p2uL1CvmaHn3uLfOKt8d,224848,3
241,Easy,6Kkt27YmFyIFrcX3QXFi2o,Liability,Easy,0.587,0.229,10,-11.254,0,0.128,0.92,0.0,0.1,0.379,75.67,audio_features,spotify:track:6Kkt27YmFyIFrcX3QXFi2o,https://api.spotify.com/v1/tracks/6Kkt27YmFyIFrcX3QXFi2o,https://api.spotify.com/v1/audio-analysis/6Kkt27YmFyIFrcX3QXFi2o,171728,4
242,Easy,6isTQfKXhNO3EyJd9mSxx8,AM I DREAMING (feat. Miley Cyrus),Easy,0.629,0.445,3,-6.999,1,0.0258,0.77,2.92e-06,0.351,0.209,94.103,audio_features,spotify:track:6isTQfKXhNO3EyJd9mSxx8,https://api.spotify.com/v1/tracks/6isTQfKXhNO3EyJd9mSxx8,https://api.spotify.com/v1/audio-analysis/6isTQfKXhNO3EyJd9mSxx8,183241,4
243,Easy,1rjFUFFB9xokmzBioWhrWk,Wanderlust,Easy,0.481,0.115,0,-16.155,0,0.0448,0.892,0.00149,0.112,0.196,134.078,audio_features,spotify:track:1rjFUFFB9xokmzBioWhrWk,https://api.spotify.com/v1/tracks/1rjFUFFB9xokmzBioWhrWk,https://api.spotify.com/v1/audio-analysis/1rjFUFFB9xokmzBioWhrWk,187253,4
244,Easy,2sBKLT7bFa38yVAYxYltUX,Dance with Me,Easy,0.36,0.209,4,-10.293,1,0.0355,0.967,0.00326,0.153,0.227,199.95,audio_features,spotify:track:2sBKLT7bFa38yVAYxYltUX,https://api.spotify.com/v1/tracks/2sBKLT7bFa38yVAYxYltUX,https://api.spotify.com/v1/audio-analysis/2sBKLT7bFa38yVAYxYltUX,234283,4
245,Easy,6F5mZpEEjhsAW8UEqbIpz1,Tired,Easy,0.63,0.418,7,-7.111,0,0.0254,0.483,0.15,0.111,0.345,140.037,audio_features,spotify:track:6F5mZpEEjhsAW8UEqbIpz1,https://api.spotify.com/v1/tracks/6F5mZpEEjhsAW8UEqbIpz1,https://api.spotify.com/v1/audio-analysis/6F5mZpEEjhsAW8UEqbIpz1,199515,4
246,Easy,1NaDK3atogQEn9glK5fYuy,Cologne,Easy,0.55,0.803,2,-3.608,1,0.0347,0.000561,0.000523,0.0266,0.877,130.015,audio_features,spotify:track:1NaDK3atogQEn9glK5fYuy,https://api.spotify.com/v1/tracks/1NaDK3atogQEn9glK5fYuy,https://api.spotify.com/v1/audio-analysis/1NaDK3atogQEn9glK5fYuy,164691,4
247,Easy,0edtKj1oW6rJ9f4wRtLPPH,Traingazing,Easy,0.848,0.364,11,-10.058,1,0.0637,0.697,0.00529,0.14,0.569,137.541,audio_features,spotify:track:0edtKj1oW6rJ9f4wRtLPPH,https://api.spotify.com/v1/tracks/0edtKj1oW6rJ9f4wRtLPPH,https://api.spotify.com/v1/audio-analysis/0edtKj1oW6rJ9f4wRtLPPH,214160,4
248,Easy,7sTDqaGUr9NM8NHQ5SNHi1,That's Us,Easy,0.621,0.108,10,-15.399,1,0.0493,0.968,1.67e-05,0.137,0.204,129.285,audio_features,spotify:track:7sTDqaGUr9NM8NHQ5SNHi1,https://api.spotify.com/v1/tracks/7sTDqaGUr9NM8NHQ5SNHi1,https://api.spotify.com/v1/audio-analysis/7sTDqaGUr9NM8NHQ5SNHi1,270462,4
